194.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743133556|1743135479.398656|1743346751.4662466
195.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743133557|1743135099.346135|1743346751.4662466
196.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743133559|1743135038.4887862|1743346751.4662466
197.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743133562|1743135025.3017454|1743346751.4662466
198.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135307|1743137259.0127375|1743346751.4662466
199.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135308|1743137359.4533737|1743346751.4662466
200.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135311|1743137270.640522|1743346751.4662466
201.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135313|1743136907.3975081|1743346751.4662466
202.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135317|1743136987.4777339|1743346751.4662466
203.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135319|1743137058.4359372|1743346751.4662466
204.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135321|1743137195.4342186|1743346751.4662466
205.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135323|1743137284.2318196|1743346751.4662466
206.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135324|1743137295.4193661|1743346751.4662466
207.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135329|1743137209.1719065|1743346751.4662466
208.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135332|1743137248.2541974|1743346751.4662466
209.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135333|1743137188.9703467|1743346751.4662466
210.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135335|1743137322.5579479|1743346751.4662466
211.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135337|1743138942.990564|1743346751.4662466
212.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135344|1743138950.5331988|1743346751.4662466
213.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135519|1743137420.3202055|1743346751.4662466
214.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135520|1743137323.5749989|1743346751.4662466
215.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135520|1743137357.0431108|1743346751.4662466
216.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135520|1743137371.237684|1743346751.4662466
217.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135521|1743137380.7782035|1743346751.4662466
218.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135521|1743137362.9032662|1743346751.4662466
219.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743135521|1743137433.0912058|1743346751.4662466
220.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135741|1743135745.9538639|1743346751.4662466
221.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135741|1743135746.9712114|1743346751.4662466
222.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135741|1743135748.297595|1743346751.4662466
223.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135741|1743135748.297595|1743346751.4662466
224.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135742|1743135748.297595|1743346751.4662466
225.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135742|1743135748.297595|1743346751.4662466
226.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135742|1743135748.297595|1743346751.4662466
227.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135743|1743135748.297595|1743346751.4662466
228.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135743|1743135748.297595|1743346751.4662466
229.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135744|1743135749.6352932|1743346751.4662466
230.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135744|1743135748.297595|1743346751.4662466
231.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135747|1743135749.6352932|1743346751.4662466
232.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135749|1743135749.6352932|1743346751.4662466
233.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135753|1743135758.5060153|1743346751.4662466
234.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135753|1743135758.5060153|1743346751.4662466
235.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135753|1743135757.4881847|1743346751.4662466
236.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135754|1743135757.4881847|1743346751.4662466
237.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135754|1743135758.5060153|1743346751.4662466
238.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135754|1743135758.5060153|1743346751.4662466
239.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135754|1743135757.4881847|1743346751.4662466
240.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135754|1743135755.138575|1743346751.4662466
241.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135754|1743135758.5060153|1743346751.4662466
242.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135768|1743135774.01691|1743346751.4662466
243.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135768|1743135772.3992283|1743346751.4662466
244.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135768|1743135772.3992283|1743346751.4662466
245.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135768|1743135771.3802888|1743346751.4662466
246.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135769|1743135772.3992283|1743346751.4662466
247.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135769|1743135772.3992283|1743346751.4662466
248.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135769|1743135771.3802888|1743346751.4662466
249.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135769|1743135774.01691|1743346751.4662466
250.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135769|1743135774.01691|1743346751.4662466
251.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135769|1743135774.01691|1743346751.4662466
252.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135769|1743135774.01691|1743346751.4662466
253.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135775|1743135780.216204|1743346751.4662466
254.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135775|1743135780.216204|1743346751.4662466
255.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135776|1743135780.216204|1743346751.4662466
256.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135776|1743135780.216204|1743346751.4662466
257.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135776|1743135778.893919|1743346751.4662466
258.anode0.kaist.ac.kr|junhee1503|1:ppn=16:aa|1743135776|1743135776.3122118|1743346751.4662466
